Florida A&M Rattlers,/college-basketball/teams/team-page.cfm/team/florida-am
Hampton University Pirates,/college-basketball/teams/team-page.cfm/team/hampton
Howard Bison,/college-basketball/teams/team-page.cfm/team/howard
Maryland-Eastern Shore Hawks,/college-basketball/teams/team-page.cfm/team/maryland-eastern-shore
Morgan State Bears,/college-basketball/teams/team-page.cfm/team/morgan-state
North Carolina Central Eagles,/college-basketball/teams/team-page.cfm/team/north-carolina-central
Norfolk State Spartans,/college-basketball/teams/team-page.cfm/team/norfolk-state
North Carolina A&T Aggies,/college-basketball/teams/team-page.cfm/team/north-carolina-at
Savannah State Tigers,/college-basketball/teams/team-page.cfm/team/savannah-state
South Carolina State Bulldogs,/college-basketball/teams/team-page.cfm/team/south-carolina-state
Bryant University Bulldogs,/college-basketball/teams/team-page.cfm/team/bryant-university
Central Connecticut State Blue Devils,/college-basketball/teams/team-page.cfm/team/central-connecticut-state
Fairleigh Dickinson-Metropolitan Knights,/college-basketball/teams/team-page.cfm/team/fairleigh-dickinson-metropolitan
Long Island Brooklyn Blackbirds,/college-basketball/teams/team-page.cfm/team/long-island-brooklyn
Mount Saint Marys Mountaineers,/college-basketball/teams/team-page.cfm/team/mount-saint-marys
Robert Morris Colonials,/college-basketball/teams/team-page.cfm/team/robert-morris
Sacred Heart Pioneers,/college-basketball/teams/team-page.cfm/team/sacred-heart
Saint Francis-Pennsylvania Red Flash,/college-basketball/teams/team-page.cfm/team/saint-francis-pennsylvania
Saint Francis-New York Terriers,/college-basketball/teams/team-page.cfm/team/saint-francis-college-new-york
Wagner Seahawks,/college-basketball/teams/team-page.cfm/team/wagner-college
American Eagles,/college-basketball/teams/team-page.cfm/team/american-university
Army Black Knights,/college-basketball/teams/team-page.cfm/team/army
Boston University Terriers,/college-basketball/teams/team-page.cfm/team/boston-university
Bucknell Bison,/college-basketball/teams/team-page.cfm/team/bucknell
Colgate Red Raiders,/college-basketball/teams/team-page.cfm/team/colgate
Holy Cross Crusaders,/college-basketball/teams/team-page.cfm/team/college-of-holy-cross
Lafayette College Leopards,/college-basketball/teams/team-page.cfm/team/lafayette-college
Lehigh Mountain Hawks,/college-basketball/teams/team-page.cfm/team/lehigh
Loyola-Maryland Greyhounds,/college-basketball/teams/team-page.cfm/team/loyola-college-maryland
Navy Midshipmen,/college-basketball/teams/team-page.cfm/team/navy
Abilene Christian Wildcats,/college-basketball/teams/team-page.cfm/team/abilene-christian
Central Arkansas Bears,/college-basketball/teams/team-page.cfm/team/central-arkansas
Houston Baptist Huskies,/college-basketball/teams/team-page.cfm/team/houston-baptist
Incarnate Word Cardinals,/college-basketball/teams/team-page.cfm/team/incarnate-word
Lamar Cardinals,/college-basketball/teams/team-page.cfm/team/lamar
McNeese State Cowboys,/college-basketball/teams/team-page.cfm/team/mcneese-state
New Orleans Privateers,/college-basketball/teams/team-page.cfm/team/new-orleans
Nicholls State Colonels,/college-basketball/teams/team-page.cfm/team/nicholls-state
Northwestern State Demons,/college-basketball/teams/team-page.cfm/team/northwestern-state
Sam Houston State Bearkats,/college-basketball/teams/team-page.cfm/team/sam-houston-state
Southeastern Louisiana Lions,/college-basketball/teams/team-page.cfm/team/southeastern-louisiana
Stephen F. Austin State Lumberjacks,/college-basketball/teams/team-page.cfm/team/stephen-f-austin-state
Texas A&M-Corpus Christi Islanders,/college-basketball/teams/team-page.cfm/team/texas-am-corpus-christi
Appalachian State Mountaineers,/college-basketball/teams/team-page.cfm/team/appalachian-state
Arkansas State Red Wolves,/college-basketball/teams/team-page.cfm/team/arkansas-state
Arkansas-Little Rock Trojans,/college-basketball/teams/team-page.cfm/team/arkansas-little-rock
Coastal Carolina Chanticleers,/college-basketball/teams/team-page.cfm/team/coastal-carolina
Georgia Southern Eagles,/college-basketball/teams/team-page.cfm/team/georgia-southern
Georgia State Panthers,/college-basketball/teams/team-page.cfm/team/georgia-state
Louisiana-Monroe Warhawks,/college-basketball/teams/team-page.cfm/team/louisiana-monroe
Louisiana-Lafayette Ragin Cajuns,/college-basketball/teams/team-page.cfm/team/louisiana-lafayette
South Alabama Jaguars,/college-basketball/teams/team-page.cfm/team/south-alabama
Texas State Bobcats,/college-basketball/teams/team-page.cfm/team/texas-state
Texas-Arlington Mavericks,/college-basketball/teams/team-page.cfm/team/texas-arlington
Troy Trojans,/college-basketball/teams/team-page.cfm/team/troy
Albany Great Danes,/college-basketball/teams/team-page.cfm/team/albany
Binghamton Bearcats,/college-basketball/teams/team-page.cfm/team/binghamton
Hartford Hawks,/college-basketball/teams/team-page.cfm/team/hartford
Maine Black Bears,/college-basketball/teams/team-page.cfm/team/maine
Maryland-Baltimore County Retrievers,/college-basketball/teams/team-page.cfm/team/maryland-baltimore-county
Massachusetts-Lowell River Hawks,/college-basketball/teams/team-page.cfm/team/massachusetts-lowell
New Hampshire Wildcats,/college-basketball/teams/team-page.cfm/team/new-hampshire
Stony Brook Seawolves,/college-basketball/teams/team-page.cfm/team/stony-brook-suny
Vermont Catamounts,/college-basketball/teams/team-page.cfm/team/vermont
Boston College Eagles,/college-basketball/teams/team-page.cfm/team/boston-college
Clemson Tigers,/college-basketball/teams/team-page.cfm/team/clemson
Duke Blue Devils,/college-basketball/teams/team-page.cfm/team/duke
Florida State Seminoles,/college-basketball/teams/team-page.cfm/team/florida-state
Georgia Tech Yellow Jackets,/college-basketball/teams/team-page.cfm/team/georgia-tech
Louisville Cardinals,/college-basketball/teams/team-page.cfm/team/louisville
Miami-Florida Hurricanes,/college-basketball/teams/team-page.cfm/team/miami-florida
North Carolina Tar Heels,/college-basketball/teams/team-page.cfm/team/north-carolina
North Carolina State Wolfpack,/college-basketball/teams/team-page.cfm/team/north-carolina-state
Notre Dame Fighting Irish,/college-basketball/teams/team-page.cfm/team/notre-dame
Pittsburgh Panthers,/college-basketball/teams/team-page.cfm/team/pittsburgh
Syracuse Orange,/college-basketball/teams/team-page.cfm/team/syracuse
Virginia Cavaliers,/college-basketball/teams/team-page.cfm/team/virginia
Virginia Tech Hokies,/college-basketball/teams/team-page.cfm/team/virginia-tech
Wake Forest Demon Deacons,/college-basketball/teams/team-page.cfm/team/wake-forest
Butler Bulldogs,/college-basketball/teams/team-page.cfm/team/butler
Creighton Blue Jays,/college-basketball/teams/team-page.cfm/team/creighton
DePaul Blue Demons,/college-basketball/teams/team-page.cfm/team/depaul
Georgetown Hoyas,/college-basketball/teams/team-page.cfm/team/georgetown
Marquette Golden Eagles,/college-basketball/teams/team-page.cfm/team/marquette
Providence Friars,/college-basketball/teams/team-page.cfm/team/providence-college
Seton Hall Pirates,/college-basketball/teams/team-page.cfm/team/seton-hall
Saint Johns Red Storm,/college-basketball/teams/team-page.cfm/team/saint-johns
Villanova Wildcats,/college-basketball/teams/team-page.cfm/team/villanova
Xavier Musketeers,/college-basketball/teams/team-page.cfm/team/xavier
Illinois Fighting Illini,/college-basketball/teams/team-page.cfm/team/illinois-urbana
Indiana Hoosiers,/college-basketball/teams/team-page.cfm/team/indiana
Iowa Hawkeyes,/college-basketball/teams/team-page.cfm/team/iowa
Maryland Terrapins,/college-basketball/teams/team-page.cfm/team/maryland
Michigan Wolverines,/college-basketball/teams/team-page.cfm/team/michigan
Michigan State Spartans,/college-basketball/teams/team-page.cfm/team/michigan-state
Minnesota Golden Gophers,/college-basketball/teams/team-page.cfm/team/minnesota
Nebraska Cornhuskers,/college-basketball/teams/team-page.cfm/team/nebraska
Northwestern Wildcats,/college-basketball/teams/team-page.cfm/team/northwestern-university
Ohio State Buckeyes,/college-basketball/teams/team-page.cfm/team/ohio-state
Penn State Nittany Lions,/college-basketball/teams/team-page.cfm/team/pennsylvania-state
Purdue Boilermakers,/college-basketball/teams/team-page.cfm/team/purdue
Rutgers Scarlet Knights,/college-basketball/teams/team-page.cfm/team/rutgers
Wisconsin Badgers,/college-basketball/teams/team-page.cfm/team/wisconsin-madison
North Carolina-Charlotte 49ers,/college-basketball/teams/team-page.cfm/team/north-carolina-charlotte
Florida Atlantic Owls,/college-basketball/teams/team-page.cfm/team/florida-atlantic
Florida International Panthers,/college-basketball/teams/team-page.cfm/team/florida-international
Louisiana Tech Bulldogs,/college-basketball/teams/team-page.cfm/team/louisiana-tech
Marshall Thundering Herd,/college-basketball/teams/team-page.cfm/team/marshall
Middle Tennessee State Blue Raiders,/college-basketball/teams/team-page.cfm/team/middle-tennessee-state
North Texas Mean Green Eagles,/college-basketball/teams/team-page.cfm/team/north-texas
Old Dominion Monarchs,/college-basketball/teams/team-page.cfm/team/old-dominion
Rice University Owls,/college-basketball/teams/team-page.cfm/team/william-marsh-rice
Southern Mississippi Golden Eagles,/college-basketball/teams/team-page.cfm/team/southern-mississippi
Texas-El Paso Miners,/college-basketball/teams/team-page.cfm/team/texas-el-paso
Texas-San Antonio Roadrunners,/college-basketball/teams/team-page.cfm/team/texas-san-antonio
Alabama-Birmingham Blazers,/college-basketball/teams/team-page.cfm/team/alabama-birmingham
Western Kentucky Hilltoppers,/college-basketball/teams/team-page.cfm/team/western-kentucky
Canisius Golden Griffins,/college-basketball/teams/team-page.cfm/team/canisius-college
Fairfield Stags,/college-basketball/teams/team-page.cfm/team/fairfield
Iona Gaels,/college-basketball/teams/team-page.cfm/team/iona-college
Manhattan Jaspers,/college-basketball/teams/team-page.cfm/team/manhattan-college
Marist Red Foxes,/college-basketball/teams/team-page.cfm/team/marist-college
Monmouth-New Jersey Hawks,/college-basketball/teams/team-page.cfm/team/monmouth-university-new-jersey
Niagara Purple Eagles,/college-basketball/teams/team-page.cfm/team/niagara-university
Quinnipiac Bobcats,/college-basketball/teams/team-page.cfm/team/quinnipiac
Rider Broncs,/college-basketball/teams/team-page.cfm/team/rider
Siena College Saints,/college-basketball/teams/team-page.cfm/team/siena-college
Saint Peters Peacocks,/college-basketball/teams/team-page.cfm/team/saint-peters-college
Bradley Braves,/college-basketball/teams/team-page.cfm/team/bradley
Drake Bulldogs,/college-basketball/teams/team-page.cfm/team/drake
Evansville Aces,/college-basketball/teams/team-page.cfm/team/evansville
Illinois State Redbirds,/college-basketball/teams/team-page.cfm/team/illinois-state
Indiana State Sycamores,/college-basketball/teams/team-page.cfm/team/indiana-state
Loyola-Chicago Ramblers,/college-basketball/teams/team-page.cfm/team/loyola-chicago
Missouri State Bears,/college-basketball/teams/team-page.cfm/team/missouri-state
Northern Iowa Panthers,/college-basketball/teams/team-page.cfm/team/northern-iowa
Southern Illinois Salukis,/college-basketball/teams/team-page.cfm/team/southern-illinois
Valparaiso Crusaders,/college-basketball/teams/team-page.cfm/team/valparaiso
Austin Peay State Governors,/college-basketball/teams/team-page.cfm/team/austin-peay-state
Belmont Bruins,/college-basketball/teams/team-page.cfm/team/belmont
Eastern Kentucky Colonels,/college-basketball/teams/team-page.cfm/team/eastern-kentucky
Eastern Illinois Panthers,/college-basketball/teams/team-page.cfm/team/eastern-illinois
Jacksonville State Gamecocks,/college-basketball/teams/team-page.cfm/team/jacksonville-state
Morehead State Eagles,/college-basketball/teams/team-page.cfm/team/morehead-state
Murray State Racers,/college-basketball/teams/team-page.cfm/team/murray-state
Southern Illinois-Edwardsville Cougars,/college-basketball/teams/team-page.cfm/team/southern-illinois-edwardsville
Southeast Missouri State Redhawks,/college-basketball/teams/team-page.cfm/team/southeast-missouri-state
Tennessee-Martin Skyhawks,/college-basketball/teams/team-page.cfm/team/tennessee-martin
Tennessee State Tigers,/college-basketball/teams/team-page.cfm/team/tennessee-state
Tennessee Tech Golden Eagles,/college-basketball/teams/team-page.cfm/team/tennessee-tech
Alabama Crimson Tide,/college-basketball/teams/team-page.cfm/team/alabama
Arkansas Razorbacks,/college-basketball/teams/team-page.cfm/team/arkansas
Auburn Tigers,/college-basketball/teams/team-page.cfm/team/auburn
Florida Gators,/college-basketball/teams/team-page.cfm/team/florida
Georgia Bulldogs,/college-basketball/teams/team-page.cfm/team/georgia
Kentucky Wildcats,/college-basketball/teams/team-page.cfm/team/kentucky
Louisiana State Tigers,/college-basketball/teams/team-page.cfm/team/louisiana-state
Mississippi Rebels,/college-basketball/teams/team-page.cfm/team/mississippi
Mississippi State Bulldogs,/college-basketball/teams/team-page.cfm/team/mississippi-state
Missouri Tigers,/college-basketball/teams/team-page.cfm/team/missouri-columbia
South Carolina Gamecocks,/college-basketball/teams/team-page.cfm/team/south-carolina
